100013,Brook,6897896780,brook@gmail.com,899789,67890000.00
100002,Deeksha,9972907169,deeksha@gmail.com,678678,1000000.00
100003,Deekshith,9663816573,deekshith@gmail.com,716947,500000.00
100010,Franky,8888888888,franky@gmail.com,888888,6700000.00
100011,God Ussop,7776668889,godussop@gmail.com,777888,500000000.00
100012,Jinbe,9809809807,jinbe@gmail.com,878987,90890000.00
100005,Monkey D Luffy,6786786789,monkeydluffy@gmail.com,678678,999999.00
100007,Nami,9898999898,nami@gmail.com,999999,121234780.00
100009,Nico Robin,8977899870,nicorobin@gmail.com,000000,56789000.00
100004,Roronoa Zoro,7169477169,roronoazoro@gmail.com,676869,449556.00
100008,Tony Tony Chopper,8908907890,tonytonychopper@gmail.com,909090,50959.00
100006,Vinsmoke Sanji,7879767879,vinsmokesanji@gmail.com,567567,1000780.00
